Price,Prop_type,Size,Bath,Bed,City,Division
2550000,2,130,2,3,   Sintra, AlgueirãoMem Martins  
3850000,2,83,1,2,   Cascais, Cascais e Estoril  
4850000,2,107,2,3,   Cascais, Cascais e Estoril  
3950000,2,125,1,2,   Lisboa, Penha de França  
3650000,2,121,2,3,   Oeiras, Algés
2950000,2,74,1,2,   Cascais, Carcavelos e Parede  
4250000,2,139,2,3,   Lisboa, Lumiar  
3150000,2,99,1,3,   Lisboa, Penha de França  
4700000,2,80,2,3,   Lisboa, Avenidas Novas  
2550000,2,98,2,3,   Mafra, Malveira e São Miguel de Alcainça  
2800000,2,65,2,2,   Lisboa, São Domingos de Benfica  
3420000,2,73,1,1,   Cascais, Alcabideche  
3000000,2,78,1,2,   Mafra, Ericeira  
4250000,2,146,2,3,   Vila Franca de Xira, Alverca do Ribatejo e Sobralinho  
2700000,2,117,2,3,   Sintra, AlgueirãoMem Martins  
4190000,2,145,1,2,   Loures, Loures  
3500000,2,110,2,3,   Lisboa, Olivais  
2890000,2,125,2,4,   Amadora, Alfragide  
2750000,2,67,1,2,   Lisboa, Penha de França  
4250000,2,120,1,4,   Lisboa, Santo António  
2550000,2,130,2,3,   Sintra, AlgueirãoMem Martins  
3850000,2,83,1,2,   Cascais, Cascais e Estoril  
4850000,2,107,2,3,   Cascais, Cascais e Estoril  
3950000,2,125,1,2,   Lisboa, Penha de França  
3650000,2,121,2,3,   Oeiras, Algés
2950000,2,74,1,2,   Cascais, Carcavelos e Parede  
4250000,2,139,2,3,   Lisboa, Lumiar  
3150000,2,99,1,3,   Lisboa, Penha de França  
4700000,2,80,2,3,   Lisboa, Avenidas Novas  
2550000,2,98,2,3,   Mafra, Malveira e São Miguel de Alcainça  
2800000,2,65,2,2,   Lisboa, São Domingos de Benfica  
3420000,2,73,1,1,   Cascais, Alcabideche  
3000000,2,78,1,2,   Mafra, Ericeira  
4250000,2,146,2,3,   Vila Franca de Xira, Alverca do Ribatejo e Sobralinho  
2700000,2,117,2,3,   Sintra, AlgueirãoMem Martins  
4190000,2,145,1,2,   Loures, Loures  
3500000,2,110,2,3,   Lisboa, Olivais  
2890000,2,125,2,4,   Amadora, Alfragide  
2750000,2,67,1,2,   Lisboa, Penha de França  
4250000,2,120,1,4,   Lisboa, Santo António  
2550000,2,130,2,3,   Sintra, AlgueirãoMem Martins  
3850000,2,83,1,2,   Cascais, Cascais e Estoril  
4850000,2,107,2,3,   Cascais, Cascais e Estoril  
3950000,2,125,1,2,   Lisboa, Penha de França  
3650000,2,121,2,3,   Oeiras, Algés
2950000,2,74,1,2,   Cascais, Carcavelos e Parede  
4250000,2,139,2,3,   Lisboa, Lumiar  
3150000,2,99,1,3,   Lisboa, Penha de França  
4700000,2,80,2,3,   Lisboa, Avenidas Novas  
2550000,2,98,2,3,   Mafra, Malveira e São Miguel de Alcainça  
2800000,2,65,2,2,   Lisboa, São Domingos de Benfica  
3420000,2,73,1,1,   Cascais, Alcabideche  
3000000,2,78,1,2,   Mafra, Ericeira  
4250000,2,146,2,3,   Vila Franca de Xira, Alverca do Ribatejo e Sobralinho  
2700000,2,117,2,3,   Sintra, AlgueirãoMem Martins  
4190000,2,145,1,2,   Loures, Loures  
3500000,2,110,2,3,   Lisboa, Olivais  
2890000,2,125,2,4,   Amadora, Alfragide  
2750000,2,67,1,2,   Lisboa, Penha de França  
4250000,2,120,1,4,   Lisboa, Santo António  
2550000,2,130,2,3,   Sintra, AlgueirãoMem Martins  
5350000,2,130,2,2,   Lisboa, Campolide  
5500000,2,158,2,3,   Odivelas, Odivelas  
5000000,2,130,2,3,   Lisboa, Campolide  
5100000,2,70,1,2,   Lisboa, Arroios  
5250000,2,127,3,3,   Lisboa, Alvalade  
7500000,2,128,3,3,   Lisboa, Lumiar  
8500000,2,178,3,5,   Lisboa, Avenidas Novas  
7100000,2,125,2,5,   Lisboa, Avenidas Novas  
8000000,2,227,3,3,   Sintra, Queluz e Belas  
7500000,2,207,2,4,   Mafra, Ericeira  
8000000,2,201,2,3,   Lisboa, Lumiar  
6400000,2,153,2,2,   Sintra, Queluz e Belas  
5350000,2,130,2,2,   Lisboa, Campolide  
5500000,2,158,2,3,   Odivelas, Odivelas  
5000000,2,130,2,3,   Lisboa, Campolide  
5100000,2,70,1,2,   Lisboa, Arroios  
5250000,2,127,3,3,   Lisboa, Alvalade  
7500000,2,128,3,3,   Lisboa, Lumiar  
8500000,2,178,3,5,   Lisboa, Avenidas Novas  
7100000,2,125,2,5,   Lisboa, Avenidas Novas  
8000000,2,227,3,3,   Sintra, Queluz e Belas  
7500000,2,207,2,4,   Mafra, Ericeira  
8000000,2,201,2,3,   Lisboa, Lumiar  
6400000,2,153,2,2,   Sintra, Queluz e Belas  
5350000,2,130,2,2,   Lisboa, Campolide  
5500000,2,158,2,3,   Odivelas, Odivelas  
5000000,2,130,2,3,   Lisboa, Campolide  
5100000,2,70,1,2,   Lisboa, Arroios  
